designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5
J184108.03+080517.0,280.2834836,8.0880683,0.0473,0.0459,-0.0072,38.987624,5.9556288,281.9124977,31.1030916,3070.519,3399.025,12.489,0.025,43.4,2.43E+00,12.591,0.026,41.8,1.28E+00,11.497,0.219,5,9.26E-01,9.077,null,0.1,9.10E-01,1.54E+00,1,0,0,0,0,0,0,280.283484,8.0880662,0.0528,0.0514,-0.0084,12,62,-82,64,2.43E+00,1.28E+00,9.26E-01,9.10E-01,1.54E+00,1N000,dd00,0,11nn,AABU,7,11,30,30,30,30,3,15,0,15,30.623,30.612,15.923,15.798,1059002677,0.203,-178.4,1,13.738,0.026,12.887,0.029,12.662,0.028,3.341428571,2.599,-1.3007,-2.8902,-1.206
J184058.50+081221.6,280.2437847,8.2060202,0.0409,0.0379,-0.003,39.0759429,6.0436174,281.8781472,31.2238932,3173.09,3707.927,10.891,0.023,46.7,2.05E+00,11.012,0.021,50.8,1.71E+00,10.747,0.101,10.8,9.01E-01,8.897,null,-0.4,8.31E-01,1.55E+00,1,0,0,0,0,0,0,280.2437839,8.2060225,0.0422,0.0392,-0.0082,-51,42,96,41,2.04E+00,1.71E+00,9.01E-01,8.31E-01,1.54E+00,1N000,0,0,011n,AAAU,7,11,29,29,29,29,11,14,0,14,28.531,28.681,13.923,14.071,1059003686,0.117,-110.2,1,11.894,0.024,11.208,0.022,10.972,0.019,4.191857143,3.074,-0.5513,-2.9112,-2.035
J184134.67+081306.9,280.3944876,8.2185844,0.0732,0.0743,-0.0024,39.1544414,5.9159041,282.053188,31.2239854,2782.547,3740.498,13.908,0.032,33.5,1.96E+00,14.043,0.051,21.4,9.19E-01,12.29,null,0.7,7.90E-01,8.515,null,1.5,9.25E-01,1.23E+00,1,0,0,0,0,0,0,280.394484,8.2185854,0.0811,0.0801,0.0085,-120,124,68,130,1.96E+00,9.20E-01,7.90E-01,9.25E-01,1.23E+00,2N000,00O0,0,10nn,AAUU,3,11,30,30,30,30,0,16,0,16,29.704,29.787,15.984,15.917,965931792,0.288,-86,1,14.861,0.065,14.311,0.076,14.246,0.089,2.398142857,0.9207,-1.7021,-2.6254,-0.547
J184044.68+075929.6,280.1861998,7.9915648,0.0617,0.0631,-0.0072,38.8574729,5.9984808,281.7911378,31.0148648,3322.988,3146.627,13.285,0.03,36.5,2.37E+00,13.399,0.038,28.5,1.01E+00,12.335,null,0.9,9.09E-01,8.597,null,1.7,1.08E+00,1.44E+00,1,0,0,0,0,0,0,280.1861997,7.9915807,0.0631,0.0645,-0.0079,-27,85,546,91,2.31E+00,1.01E+00,9.10E-01,1.08E+00,1.42E+00,3N000,0,0,11nn,AAUU,3,11,29,29,29,29,0,16,0,16,30.462,30.764,16.91,16.743,1059001872,0.581,43.5,1,14.215,0.041,13.605,0.044,13.489,0.053,2.413714286,1.543,-1.7969,-2.743,-1.236
J184115.66+081216.1,280.3152807,8.2044932,0.0529,0.0521,-0.008,39.1064523,5.9796699,281.9604609,31.2164978,2987.825,3703.76,13.201,0.026,42.3,1.92E+00,13.288,0.032,34.4,1.19E+00,12.03,null,1.2,8.72E-01,8.531,null,1.5,9.18E-01,1.31E+00,1,0,0,0,0,0,0,280.3152763,8.2045097,0.0625,0.0574,-0.014,-150,86,510,86,1.84E+00,1.21E+00,8.72E-01,9.18E-01,1.29E+00,1N000,hh00,0,10nn,AAUU,3,11,30,30,30,30,0,17,0,17,30.434,30.703,16.614,16.595,965931684,0.12,-148.2,1,13.729,0.024,13.371,0.021,13.201,0.037,3.696285714,1.949,-1.7217,-2.6184,-1.042
J184116.74+081346.1,280.3197532,8.2294838,0.056,0.055,-0.0104,39.1309102,5.986911,281.9680544,31.2410327,2976.177,3769.176,13.356,0.028,39.3,2.52E+00,13.238,0.031,34.7,1.25E+00,12.732,null,-1.5,9.22E-01,9.27,null,-1.1,9.63E-01,1.53E+00,1,0,0,0,0,0,0,280.319746,8.2294914,0.0578,0.0561,-0.0115,-249,84,251,88,2.50E+00,1.25E+00,9.22E-01,9.63E-01,1.53E+00,1N000,0,0,00nn,AAUU,3,11,29,29,29,29,0,17,0,17,28.847,29.32,16.996,16.703,965931885,0.152,-74.6,1,14.522,0.04,13.911,0.049,13.669,0.057,2.664714286,1.922,-2.1098,-3.1828,-1.794
J184137.11+080900.5,280.4046581,8.1501523,0.0449,0.0438,-0.0055,39.0974816,5.876229,282.0581999,31.1549498,2756.314,3561.323,12.973,0.024,46,3.04E+00,12.91,0.026,42,2.02E+00,11.354,0.16,6.8,9.36E-01,7.944,0.195,5.6,1.17E+00,2.01E+00,1,0,0,0,0,0,0,280.4046563,8.1501564,0.0673,0.0647,0.0035,-45,91,100,94,3.04E+00,2.02E+00,9.36E-01,1.17E+00,2.01E+00,3N000,hdHH,1,33nn,AABB,15,11,29,29,28,28,3,16,1,16,28.751,28.755,16.005,15.919,965931275,0.042,111.7,1,14.426,0.04,13.538,0.046,13.211,0.035,3.100857143,1.877,-1.0859,-2.054,-0.744
J184107.52+081513.9,280.2813695,8.2538836,0.0529,0.0515,-0.0073,39.1357306,6.0318042,281.9261469,31.2685085,3075.572,3833.141,13.495,0.024,44.7,4.98E+00,13.62,0.037,29.4,1.30E+00,12.523,null,-0.4,9.63E-01,9.128,null,0.1,8.34E-01,2.36E+00,1,0,0,0,0,0,0,280.2813684,8.2538815,0.0613,0.0562,-0.0117,-41,94,-72,93,4.98E+00,1.30E+00,9.63E-01,8.34E-01,2.36E+00,1N000,D000,1,n1nn,AAUU,3,11,29,29,29,29,0,16,0,16,28.731,28.795,15.951,16.053,1059004111,0.433,89.8,1,14.092,0.033,13.679,0.04,13.629,0.046,0.973142857,1.338,-2.0131,-2.814,-1.203
J184128.33+080640.9,280.3680507,8.1113828,0.0493,0.0489,-0.0079,39.0463099,5.8912407,282.0122146,31.1193529,2851.267,3459.886,12.468,0.026,41.7,1.74E+00,12.379,0.027,40.4,1.24E+00,12.009,0.269,4,1.15E+00,8.41,null,1.8,8.03E-01,1.32E+00,1,0,0,0,0,0,0,280.3680499,8.1113841,0.0535,0.053,-0.011,-28,62,78,65,1.74E+00,1.24E+00,1.15E+00,8.03E-01,1.32E+00,3N000,00dD,0,00nn,AABU,7,11,27,27,27,27,0,13,0,13,28.956,28.888,15.567,16.045,965930983,0.249,10.1,1,13.758,0.022,12.917,0.03,12.646,0.027,3.787571429,2.501,-1.645,-2.4428,-1.93
J184123.14+081305.9,280.3464462,8.2183102,0.1316,0.1364,-0.0365,39.1327699,5.9582864,281.9977532,31.2276936,2907.035,3739.868,14.733,0.053,20.4,2.04E+00,14.81,0.095,11.5,1.08E+00,12.715,null,-2.9,1.05E+00,9.016,null,0.5,9.73E-01,1.37E+00,1,0,0,0,0,0,0,280.3464391,8.2183363,0.1606,0.1538,-0.0327,-186,257,816,257,2.02E+00,1.08E+00,1.05E+00,9.73E-01,1.37E+00,1N000,0,0,10nn,AAUU,3,11,30,30,20,30,0,16,0,16,30.833,31.262,16.443,16.17,965931787,0.489,110.3,1,15.287,0.057,14.791,0.083,14.793,0.143,0.443714286,-0.229,-2.4105,-2.8732,-0.205
