designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,r_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J202351.69+403328.1,305.9653757,40.5578263,20h23m51.69s,40d33m28.17s,0.0415,0.0386,-0.0123,10.515,0.022,50.1,2.859E+02,10.387,0.023,46.7,1.240E+02,9.531,0.063,17.4,3.122E+00,6.320,null,-0.5,1.003E+00,1,0,0.000,0.000,0.000,0.000,-3594,32,151,32,ddDH,1,nnnn,AAAU,0000,48,49,45,49,16,19,0,19,null,null,null,null,null,null,null,null,913.891349,150.375739
J202157.98+404046.2,305.4915951,40.6795184,20h21m57.98s,40d40m46.27s,0.0441,0.0418,0.0081,10.788,0.025,43.3,5.109E+01,10.733,0.023,47.2,2.388E+01,11.918,null,-1.4,1.304E+00,7.469,null,-8.0,1.697E+00,1,0,0.000,0.000,0.000,0.000,-489,37,-268,36,hhpp,1,99nn,AAUU,0000,48,48,48,48,0,22,0,22,305443471,0.535,13.093,0.025,11.837,0.021,11.407,0.020,914.399517,247.136051
J202432.55+404656.4,306.1356494,40.7823470,20h24m32.56s,40d46m56.45s,0.0388,0.0368,0.0068,10.389,0.023,47.8,2.152E+00,10.392,0.021,51.0,1.481E+00,9.417,0.049,22.1,1.186E+00,7.313,0.182,6.0,9.518E-01,1,0,0.000,0.000,0.000,0.000,0,34,0,33,0000,0,0011,AAAB,0000,56,56,55,55,21,21,9,21,305644659,0.132,12.204,0.022,11.062,0.017,10.674,0.016,914.500078,89.049802
J202424.03+403954.7,306.1001637,40.6652054,20h24m24.04s,40d39m54.74s,0.1052,0.1342,0.0589,11.750,0.074,14.7,2.414E+00,11.759,0.071,15.2,1.098E+00,8.591,0.089,12.2,3.852E+00,6.612,0.156,7.0,7.786E-01,2,0,0.000,0.000,0.000,0.000,951,54,2136,72,0000,1,0011,AAAB,0000,50,50,50,50,19,19,12,19,305645642,0.162,14.126,0.028,12.672,0.022,12.121,0.023,914.583289,116.416604
J202358.17+403413.8,305.9923991,40.5705221,20h23m58.18s,40d34m13.88s,0.0721,0.0713,-0.0108,12.635,0.036,30.4,1.232E+00,12.777,0.037,29.7,1.694E+00,10.964,null,-1.9,4.044E-01,8.619,null,-11.4,1.479E+00,1,0,0.000,0.000,0.000,0.000,-117,68,-73,68,0hdH,0,22nn,AAUU,0000,50,50,50,50,0,15,0,19,305626905,0.075,13.537,0.024,13.011,0.024,12.768,0.028,914.646954,144.928269
J202333.62+410124.8,305.8900962,41.0235670,20h23m33.62s,41d01m24.84s,0.0379,0.0355,0.0096,8.855,0.022,48.6,1.555E+00,8.935,0.020,55.4,1.592E+00,8.787,0.070,15.4,4.276E-01,7.547,0.227,4.8,8.032E-01,1,0,0.000,0.000,0.000,0.000,18,31,52,29,0000,0,011n,AAAB,0000,53,53,53,53,19,19,4,19,305630714,0.139,12.159,0.021,10.248,0.017,9.390,0.015,915.099951,15.472729
J202204.68+405506.4,305.5195247,40.9184642,20h22m04.69s,40d55m06.47s,0.0716,0.0709,-0.0139,13.549,0.032,33.5,3.148E+00,13.652,0.043,25.0,1.183E+00,12.375,null,-3.2,8.635E-01,7.225,null,-4.9,6.347E-01,1,0,0.000,0.000,0.000,0.000,366,97,-91,98,0000,1,10nn,AAUU,0000,44,44,44,44,0,18,0,18,305441533,1.186,16.399,0.129,14.707,0.077,14.065,0.078,915.256287,303.462324
J202158.41+405256.1,305.4933958,40.8822723,20h21m58.41s,40d52m56.18s,0.1124,0.1301,-0.0394,13.743,0.048,22.7,2.134E+00,13.861,0.072,15.1,1.284E+00,11.464,null,-1.2,4.313E-01,6.562,null,-1.5,3.721E-01,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,0,nnnn,AAUU,0000,44,44,41,44,0,19,0,19,305441779,0.313,15.369,0.053,14.470,0.053,13.978,0.070,915.260219,294.160434
J202338.70+410106.9,305.9112774,41.0185996,20h23m38.71s,41d01m06.96s,0.0391,0.0367,0.0102,9.979,0.023,46.8,3.455E+00,9.934,0.020,53.2,2.637E+00,10.075,null,1.9,4.181E-01,8.533,null,-7.2,1.021E+00,1,0,0.000,0.000,0.000,0.000,43,33,-34,31,0000,1,01nn,AAUU,0000,55,55,55,55,2,20,0,20,305630673,0.180,12.971,0.024,11.156,0.017,10.469,0.016,915.265481,19.245109
J202228.70+403351.9,305.6196219,40.5644251,20h22m28.71s,40d33m51.93s,0.0386,0.0365,0.0098,10.133,0.022,48.5,1.283E+01,10.024,0.020,53.3,7.676E+00,9.506,0.075,14.5,8.218E-01,6.033,0.225,4.8,8.187E-01,1,0,0.000,0.000,0.000,0.000,-97,34,-102,33,00o0,1,2110,AAAB,0000,42,42,42,42,18,18,17,18,305527471,0.331,11.724,0.021,10.918,0.018,10.490,0.017,915.276639,212.656073
