designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,r_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J202339.66+404408.8,305.9152868,40.7357898,20h23m39.67s,40d44m08.84s,0.1280,0.1250,-0.0307,13.813,0.053,20.5,1.452E+00,13.798,0.076,14.3,9.365E-01,10.106,null,0.3,1.434E-01,5.307,0.096,11.3,5.607E+00,2,0,0.000,0.000,0.000,0.000,92,115,-224,118,0000,1,10n0,AAUA,0000,55,55,53,54,0,25,25,25,305628278,0.482,15.600,0.064,14.634,0.062,14.326,0.090,349.641507,116.129545
J202256.64+404140.1,305.7360304,40.6944845,20h22m56.65s,40d41m40.14s,0.0581,0.0579,0.0078,12.706,0.029,38.0,5.185E+00,12.707,0.032,33.8,1.527E+00,12.276,null,-0.5,8.165E-01,7.106,null,-4.4,2.375E+00,2,0,0.000,0.000,0.000,0.000,86,58,-203,58,0h00,1,21nn,AAUU,0000,49,49,49,49,0,21,1,20,305545132,0.277,15.141,0.046,13.709,0.034,13.221,0.040,349.842632,210.048721
J202311.58+404053.2,305.7982586,40.6814517,20h23m11.58s,40d40m53.23s,0.0689,0.0684,-0.0126,12.705,0.032,33.7,1.234E+00,12.750,0.037,29.0,1.279E+00,10.598,null,-0.2,2.730E-01,6.121,0.161,6.8,2.622E+00,3,0,0.000,0.000,0.000,0.000,83,70,-2,67,00d0,0,21n0,AAUB,0000,52,52,52,52,0,21,21,23,305545241,0.244,13.835,0.027,13.152,0.023,12.833,0.030,349.846386,180.872525
J202340.39+404425.8,305.9182991,40.7405057,20h23m40.39s,40d44m25.82s,0.1128,0.1137,-0.0282,13.482,0.048,22.4,3.002E+00,13.525,0.065,16.7,1.028E+00,9.969,null,1.1,1.621E-01,4.904,0.080,13.6,4.163E+00,1,0,0.000,0.000,0.000,0.000,0,89,0,91,0h0d,1,11n1,AAUA,0000,54,54,54,54,0,25,25,25,305628317,0.979,14.921,0.043,14.147,0.046,14.084,0.073,350.025119,113.040733
J202333.49+404231.6,305.8895773,40.7087856,20h23m33.50s,40d42m31.63s,0.0888,0.0930,-0.0125,14.366,0.035,31.1,2.029E+00,15.298,0.108,10.1,1.622E+00,11.744,null,-3.3,6.359E-01,7.851,0.286,3.8,2.738E+00,3,1,0.000,0.000,0.000,0.003,-622,164,261,159,0000,0,nnnn,AAUB,0000,53,53,16,52,0,22,1,24,305628062,0.454,15.778,0.075,14.784,0.068,14.737,0.127,350.167458,135.856570
J202323.87+405206.9,305.8494905,40.8685978,20h23m23.88s,40d52m06.95s,0.0741,0.0747,-0.0135,13.259,0.036,30.6,2.271E+00,13.321,0.049,22.0,1.219E+00,10.606,null,-7.7,9.620E-01,7.943,null,-32.6,4.430E+00,1,0,0.000,0.000,0.000,0.000,-238,81,187,81,000d,1,11nn,AAUU,0000,53,53,53,53,0,0,0,0,305543560,0.226,14.314,0.031,13.717,0.035,13.384,0.044,350.638588,22.495742
J202250.29+405052.3,305.7095651,40.8478824,20h22m50.30s,40d50m52.38s,0.0405,0.0387,0.0059,10.969,0.024,45.6,1.619E+00,11.011,0.022,49.3,1.264E+00,12.327,null,-12.9,2.023E+00,8.345,null,-37.4,9.889E+00,1,0,0.000,0.000,0.000,0.000,53,36,-16,36,0000,1,00nn,AAUU,0000,49,49,49,49,1,2,0,1,305529921,0.190,12.662,0.024,11.588,0.018,11.215,0.018,350.954622,315.303220
J202331.71+404211.9,305.8821274,40.7033138,20h23m31.71s,40d42m11.93s,0.0980,0.0991,-0.0213,13.788,0.041,26.4,2.435E+00,14.134,0.080,13.6,1.211E+00,12.176,null,-3.4,8.464E-01,6.160,0.067,16.1,4.246E+00,2,1,0.000,0.000,0.000,0.000,-434,216,-420,166,0000,1,nnnn,AAUA,0000,50,50,46,50,0,20,19,21,305628015,1.067,16.361,null,15.293,0.130,14.420,null,351.313389,140.478453
J202342.66+404735.3,305.9277737,40.7931511,20h23m42.67s,40d47m35.34s,0.1223,0.1259,-0.0257,14.297,0.053,20.6,1.733E+00,14.319,0.075,14.5,1.381E+00,10.440,null,-2.3,2.865E-01,6.419,null,-0.9,2.256E-01,1,0,0.000,0.000,0.000,0.000,139,190,-90,196,0O00,0,1nnn,AAUU,0000,50,51,41,51,0,3,0,20,305628791,0.316,16.791,0.145,15.305,0.100,14.487,0.092,351.621293,81.402479
J202306.40+405228.8,305.7766998,40.8746695,20h23m06.41s,40d52m28.81s,0.0811,0.0809,-0.0233,14.299,0.043,25.5,2.723E+00,14.732,0.062,17.6,1.590E+00,9.183,0.052,21.0,3.776E+00,3.917,0.032,33.9,4.786E+01,2,0,0.000,0.000,0.000,0.000,-1018,131,2165,133,0hOd,1,30n4,AAAA,0000,48,48,30,48,19,20,19,20,305543506,1.200,15.238,0.051,14.521,0.054,14.135,0.078,351.659175,349.514468
J202241.34+404729.1,305.6722838,40.7914315,20h22m41.35s,40d47m29.15s,0.0546,0.0535,-0.0068,12.372,0.027,40.4,5.340E+00,12.468,0.032,33.6,1.719E+00,9.932,null,1.5,2.126E-01,5.766,null,0.7,6.322E-01,1,0,0.000,0.000,0.000,0.000,-55,58,-96,64,0000,1,22nn,AAUU,0000,52,52,52,52,0,26,2,24,305529431,1.698,14.737,null,14.011,0.082,13.343,0.061,351.737735,277.576350
J202342.18+404804.3,305.9257762,40.8011951,20h23m42.19s,40d48m04.30s,0.0843,0.0852,-0.0166,13.318,0.039,28.2,1.187E+00,13.217,0.048,22.8,1.235E+00,10.167,null,-0.9,1.370E-01,6.277,null,-0.7,1.378E-01,1,0,0.000,0.000,0.000,0.000,74,94,-184,100,0O00,0,1nnn,AAUU,0000,51,51,51,51,0,17,0,19,305628875,0.214,14.209,0.025,13.664,0.032,13.406,0.041,351.759830,76.600721
J202253.68+404159.7,305.7236719,40.6999204,20h22m53.68s,40d41m59.71s,0.0666,0.0658,-0.0070,14.153,0.028,38.8,4.436E+00,14.727,0.061,17.8,1.509E+00,11.724,null,-5.2,7.689E-01,7.320,null,-7.6,1.659E+00,1,0,0.000,0.000,0.000,0.000,-508,131,-129,133,0000,1,41nn,AAUU,0000,48,48,27,48,0,13,0,20,305545095,0.771,15.682,0.066,14.862,0.076,14.313,0.092,351.929972,216.410636
J202255.39+404146.2,305.7308011,40.6961934,20h22m55.39s,40d41m46.30s,0.0425,0.0401,0.0091,11.829,0.023,47.0,2.547E+00,11.855,0.023,47.3,1.389E+00,11.977,0.350,3.1,7.674E-01,6.963,null,-5.6,1.987E+00,1,0,0.000,0.000,0.000,0.000,130,41,178,40,0000,0,21nn,AABU,0000,50,50,50,50,1,22,1,16,305545118,0.237,12.866,0.023,12.422,0.023,12.193,0.022,351.991472,212.562277
J202343.04+404628.9,305.9293731,40.7747130,20h23m43.05s,40d46m28.97s,0.1085,0.1127,-0.0240,13.427,0.044,24.5,2.140E+00,13.677,0.081,13.4,1.218E+00,11.107,null,-4.0,6.036E-01,6.156,null,1.2,2.407E-01,2,1,0.000,0.000,0.000,0.000,-43,99,131,102,0000,0,nnnn,AAUU,0000,53,53,52,53,0,9,0,24,305628629,0.215,14.740,0.037,13.967,0.039,13.555,0.046,352.397458,92.245267
J202322.15+404109.8,305.8423303,40.6860786,20h23m22.16s,40d41m09.88s,0.0833,0.0813,-0.0156,13.213,0.038,28.5,1.573E+00,13.361,0.042,25.7,1.300E+00,11.372,null,-3.5,7.779E-01,8.294,null,-6.6,1.393E+00,1,0,0.000,0.000,0.000,0.000,-32,85,-191,85,0000,0,00nn,AAUU,0000,51,51,51,51,0,17,0,21,305545204,0.476,14.256,0.033,13.669,0.038,13.493,0.050,352.407200,160.957049
J202339.22+404933.4,305.9134202,40.8259498,20h23m39.22s,40d49m33.42s,0.1394,0.1391,-0.0342,14.073,0.057,19.2,1.405E+00,14.444,0.103,10.5,1.042E+00,11.191,null,-5.4,9.092E-01,8.363,null,-2.4,7.745E-01,1,0,0.000,0.001,0.000,0.000,-158,167,-48,170,0000,0,11nn,AAUU,0000,49,50,31,50,0,1,1,19,305629092,0.523,15.347,0.047,14.354,0.048,14.172,0.075,352.432771,61.051374
J202342.44+404529.7,305.9268522,40.7582694,20h23m42.44s,40d45m29.77s,0.0863,0.0872,-0.0180,13.438,0.041,26.8,1.367E+00,13.522,0.045,24.1,1.192E+00,10.974,0.215,5.0,5.808E-01,8.647,null,-7.3,1.131E+00,1,0,0.000,0.000,0.000,0.000,273,136,-199,135,0000,0,31nn,AABU,0000,54,54,54,54,3,24,0,24,305628475,0.569,15.930,0.068,14.472,0.051,13.881,0.061,352.973781,101.937866
J202241.30+404549.0,305.6721244,40.7636182,20h22m41.31s,40d45m49.03s,0.0400,0.0386,0.0085,10.402,0.024,45.8,2.541E+00,10.433,0.022,49.7,1.699E+00,10.133,0.079,13.7,8.991E-01,8.776,null,-21.6,3.456E+00,1,0,0.000,0.000,0.000,0.000,-26,33,-48,34,0o00,1,000n,AAAU,0000,51,51,51,51,23,25,0,24,305529190,0.223,10.644,0.021,10.546,0.018,10.488,0.016,353.359875,261.250453
J202307.52+404053.3,305.7813430,40.6814853,20h23m07.52s,40d40m53.35s,0.0415,0.0391,0.0083,10.843,0.023,46.3,1.008E+00,10.871,0.022,48.6,1.222E+00,10.991,0.273,4.0,7.045E-01,5.233,0.045,24.3,8.582E+00,1,0,0.000,0.000,0.000,0.000,0,38,0,36,0000,1,00n2,AABA,0000,49,49,49,49,4,21,21,21,305545240,0.149,11.115,0.020,10.931,0.018,10.883,0.014,353.452568,188.379404
J202242.93+404435.5,305.6789101,40.7432074,20h22m42.94s,40d44m35.55s,0.0620,0.0610,-0.0094,12.808,0.030,35.8,1.763E+00,12.853,0.034,31.8,1.254E+00,12.234,null,-4.1,9.896E-01,7.503,null,-3.2,4.929E-01,1,0,0.000,0.000,0.000,0.000,-66,65,-88,66,0000,0,00nn,AAUU,0000,44,44,44,44,0,18,0,18,305529011,0.343,13.707,0.025,13.226,0.025,13.039,0.030,354.476995,248.961303
J202337.24+405012.8,305.9051820,40.8368992,20h23m37.24s,40d50m12.84s,0.0861,0.0860,-0.0186,12.832,0.038,28.5,3.106E+00,12.860,0.052,20.7,1.278E+00,11.885,null,1.1,1.109E+00,5.409,0.060,18.2,1.322E+01,1,0,0.000,0.000,0.000,0.001,279,68,-376,69,000d,1,98n3,AAUA,0000,54,54,54,54,2,20,21,21,305629192,0.313,14.334,0.029,13.406,0.029,12.947,0.033,354.730635,53.705804
J202242.38+404452.4,305.6765836,40.7479148,20h22m42.38s,40d44m52.49s,0.0579,0.0503,0.0182,12.468,0.029,36.8,2.210E+00,12.486,0.029,37.6,1.548E+00,12.243,null,-7.3,1.102E+00,8.067,null,-8.0,3.568E+00,2,1,0.000,0.000,0.000,0.000,-15,49,236,48,0o00,1,nnnn,AAUU,0000,47,47,47,47,0,17,0,20,305529057,0.517,13.936,0.037,13.136,0.040,12.887,0.038,354.752042,251.885031
J202244.28+404927.0,305.6845386,40.8241772,20h22m44.29s,40d49m27.04s,0.0913,0.0932,-0.0227,13.897,0.041,26.3,2.892E+00,14.151,0.055,19.7,1.065E+00,11.640,0.289,3.8,9.415E-01,5.636,0.127,8.6,2.048E+00,1,0,0.000,0.000,0.000,0.000,-328,110,145,112,0h00,0,00n0,AABB,0000,50,50,48,50,3,23,16,23,305529716,2.333,15.716,0.074,14.884,0.083,14.357,null,355.332137,297.525383
J202333.35+405103.5,305.8889956,40.8509946,20h23m33.36s,40d51m03.58s,0.1178,0.1207,-0.0265,14.046,0.052,20.9,1.550E+00,13.924,0.076,14.2,8.453E-01,9.433,0.130,8.4,1.396E+00,4.606,0.090,12.1,1.409E+01,3,0,0.000,0.000,0.000,0.000,208,111,136,113,000d,1,2110,AABA,0000,54,54,50,54,24,24,19,20,305629317,0.405,15.108,0.039,14.484,0.044,14.344,0.081,355.531378,42.845763
J202334.31+405053.3,305.8929692,40.8481398,20h23m34.31s,40d50m53.30s,0.1305,0.1282,-0.0423,14.111,0.067,16.2,3.094E+00,14.105,0.079,13.7,1.041E+00,9.339,0.120,9.1,1.501E+00,4.420,0.045,24.3,3.656E+01,3,0,0.000,0.000,0.000,0.000,-1046,124,457,123,P00d,1,n003,AABA,0000,54,54,52,54,24,24,24,24,305629292,1.855,16.975,0.184,15.417,0.109,15.038,0.167,355.683203,45.250299
J202300.33+405213.6,305.7513980,40.8704681,20h23m00.34s,40d52m13.69s,0.1134,0.1154,-0.0345,13.722,0.052,20.8,1.676E+00,13.849,0.113,9.6,8.734E-01,11.810,null,-10.8,1.530E+00,6.131,0.043,25.2,1.856E+01,3,0,0.000,0.001,0.000,0.000,-717,182,693,198,000h,1,11n2,ABUA,0000,48,48,47,48,0,5,16,19,305543545,1.484,15.235,0.059,14.323,0.058,13.983,0.074,356.389053,338.108393
J202332.35+405114.8,305.8848192,40.8541226,20h23m32.36s,40d51m14.84s,0.0540,0.0537,-0.0068,11.925,0.028,38.9,9.133E-01,11.884,0.031,35.0,1.069E+00,9.243,0.089,12.2,2.035E+00,4.199,0.046,23.5,1.321E+01,3,0,0.000,0.000,0.000,0.000,47,42,29,42,000d,1,1102,AAAA,0000,53,53,53,53,24,24,24,24,305629348,0.115,12.877,0.020,12.294,0.017,12.056,0.021,356.397429,40.273276
J202343.49+404640.4,305.9312436,40.7779100,20h23m43.50s,40d46m40.48s,0.1819,0.1923,-0.0482,14.218,0.069,15.7,2.140E+00,14.603,0.149,7.3,1.218E+00,11.077,null,-2.0,6.036E-01,6.733,null,-1.9,2.407E-01,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,0,nnnn,ABUU,0000,51,51,26,53,0,22,0,23,305628657,0.707,16.862,null,15.269,0.106,14.690,0.119,357.216447,90.367182
J202256.84+405157.0,305.7368496,40.8658432,20h22m56.84s,40d51m57.04s,0.0538,0.0517,-0.0090,12.278,0.027,40.7,2.084E+00,12.281,0.032,33.8,1.236E+00,10.337,null,0.1,1.472E-01,4.721,0.036,30.1,2.396E+01,1,0,0.000,0.000,0.000,0.000,-9,174,110,170,000d,1,11n1,AAUA,0000,49,49,49,49,0,19,18,19,305543583,0.104,14.276,0.028,13.085,0.031,12.599,0.024,358.319237,331.222682
J202319.50+404054.7,305.8312739,40.6818774,20h23m19.51s,40d40m54.76s,0.0402,0.0369,0.0089,10.395,0.023,47.9,2.400E+00,10.460,0.021,51.5,1.682E+00,10.462,null,1.1,3.955E-01,7.903,null,1.4,1.164E+00,1,0,0.000,0.000,0.000,0.000,30,33,106,32,0000,0,11nn,AAUU,0000,51,51,51,51,0,21,1,21,305545238,0.344,11.145,0.022,10.646,0.019,10.519,0.016,358.435237,166.314124
J202343.47+404609.8,305.9311603,40.7693989,20h23m43.48s,40d46m09.84s,0.0452,0.0444,0.0075,11.306,0.025,43.1,1.150E+00,11.271,0.024,44.3,1.592E+00,12.255,null,-2.0,8.204E-01,6.176,null,-1.2,1.203E-01,1,0,0.000,0.000,0.000,0.000,40,37,38,37,0000,0,01nn,AAUU,0000,54,54,54,54,0,24,0,24,305628585,0.105,14.622,0.028,12.649,0.017,11.819,0.019,358.543130,95.269614
J202331.72+404202.6,305.8822007,40.7007392,20h23m31.73s,40d42m02.66s,0.1394,0.1497,-0.0411,14.340,0.053,20.4,2.435E+00,15.053,0.154,7.0,1.211E+00,12.120,null,-2.4,8.464E-01,8.616,null,-8.3,4.246E+00,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,1,nnnn,ABUU,0000,50,50,11,50,0,20,0,21,305627993,0.254,15.422,0.058,14.670,0.067,14.438,null,358.641575,141.395039
J202340.65+404410.9,305.9193873,40.7363711,20h23m40.65s,40d44m10.94s,0.1174,0.1171,-0.0320,13.884,0.051,21.1,3.061E+00,13.861,0.077,14.0,1.178E+00,10.200,0.505,2.2,2.204E-01,5.211,0.055,19.8,7.748E+00,2,0,0.000,0.000,0.000,0.000,231,105,-236,108,0h00,1,31n1,AACA,0000,55,55,52,54,2,25,25,25,305628282,0.292,16.003,0.071,14.797,0.068,14.319,0.081,358.817785,115.040940
J202335.71+404244.0,305.8988009,40.7122476,20h23m35.71s,40d42m44.09s,0.0888,0.0858,-0.0166,13.862,0.037,29.6,1.409E+00,14.148,0.064,17.0,1.147E+00,11.553,null,0.5,4.936E-01,8.471,null,-3.3,1.024E+00,1,0,0.000,0.000,0.000,0.000,189,124,-39,120,0000,0,31nn,AAUU,0000,54,54,50,53,0,23,1,24,305628095,0.338,14.976,0.038,14.303,0.044,13.939,0.062,359.721032,131.591759
J202253.23+405132.6,305.7218306,40.8590614,20h22m53.24s,40d51m32.62s,0.0387,0.0361,0.0085,9.004,0.023,47.3,1.161E+00,9.027,0.020,53.5,2.898E+00,9.119,0.077,14.1,5.922E-01,5.632,0.085,12.8,5.457E+00,1,0,0.000,0.000,0.000,0.000,13,31,53,32,000d,1,0211,AAAA,0000,48,48,48,48,9,19,18,19,305543623,0.224,10.603,0.020,9.637,0.018,9.262,0.014,359.805575,323.621246
J202256.44+404129.5,305.7351877,40.6915519,20h22m56.45s,40d41m29.59s,0.0775,0.0755,-0.0131,13.694,0.034,31.6,4.528E+00,13.866,0.046,23.4,1.481E+00,12.420,null,-3.9,8.203E-01,7.169,null,-7.4,3.386E+00,1,0,0.000,0.000,0.000,0.000,382,102,-506,102,0000,1,11nn,AAUU,0000,50,50,49,50,0,22,0,21,305545156,0.135,14.979,0.040,14.208,0.050,13.943,0.071,360.150309,209.525659
J202336.30+405035.3,305.9012589,40.8431547,20h23m36.30s,40d50m35.36s,0.0594,0.0580,-0.0082,12.336,0.029,37.3,1.826E+00,12.357,0.037,29.6,1.312E+00,10.799,0.166,6.5,8.837E-01,4.505,0.039,28.1,2.248E+01,2,0,0.000,0.000,0.000,0.000,101,49,-93,48,000d,1,11n3,AABA,0000,53,53,53,53,7,23,22,23,305629247,0.049,14.787,0.032,13.270,0.022,12.753,0.027,360.253056,49.809290
J202240.81+404746.4,305.6700767,40.7962287,20h22m40.82s,40d47m46.42s,0.0646,0.0653,-0.0092,12.882,0.032,34.1,6.129E+00,13.043,0.037,29.6,2.294E+00,10.007,0.249,4.4,4.579E-01,5.426,null,1.7,5.749E-01,2,0,0.000,0.000,0.000,0.000,96,60,-99,61,0000,1,221n,AABU,0000,53,53,53,53,11,26,2,26,305529477,0.172,13.846,0.024,13.219,0.022,13.094,0.033,360.324097,280.175202
J202316.26+404045.8,305.8177571,40.6793959,20h23m16.26s,40d40m45.83s,0.0734,0.0710,-0.0106,13.337,0.033,32.8,2.374E+00,13.272,0.043,25.3,1.099E+00,10.759,0.395,2.8,5.486E-01,7.053,0.417,2.6,6.530E-01,1,0,0.000,0.000,0.000,0.000,50,81,243,154,00d0,0,10nn,AACC,0000,50,50,50,50,2,21,5,20,305545262,0.889,16.399,0.123,14.593,null,13.787,null,360.400082,172.361404
J202326.05+405207.0,305.8585421,40.8686308,20h23m26.05s,40d52m07.07s,0.0456,0.0451,-0.0039,12.149,0.027,39.7,1.805E+01,12.163,0.029,36.9,5.019E+00,11.777,null,-3.8,5.717E-01,9.113,null,-81.2,2.239E+01,1,0,0.000,0.000,0.000,0.000,38,47,161,47,000d,1,32nn,AAUU,0000,53,53,53,53,0,24,0,0,305543558,1.377,14.492,0.035,13.235,0.047,12.708,0.033,360.906152,26.104318
J202341.39+404902.1,305.9224753,40.8172653,20h23m41.39s,40d49m02.16s,0.1189,0.1205,-0.0263,14.186,0.049,22.2,1.895E+00,14.689,0.089,12.2,1.011E+00,11.380,null,-5.6,9.646E-01,8.666,null,-9.6,1.725E+00,1,0,0.000,0.000,0.000,0.000,-308,164,-283,172,0h00,0,10nn,AAUU,0000,50,50,29,50,0,4,0,19,305629026,1.562,15.754,0.071,15.041,0.094,14.747,0.122,361.083281,67.298098
J202245.73+404320.3,305.6905590,40.7223265,20h22m45.73s,40d43m20.38s,0.0414,0.0402,0.0080,11.476,0.023,46.8,7.538E+00,11.525,0.023,48.1,2.748E+00,12.376,null,-2.8,1.018E+00,6.706,0.131,8.3,3.289E+00,1,0,0.000,0.000,0.000,0.000,204,40,141,40,0h00,1,32n0,AAUB,0000,44,44,44,44,0,18,12,18,305528810,1.749,13.141,0.057,12.492,0.062,12.371,0.027,361.241832,235.910833
J202241.83+404450.5,305.6743045,40.7473844,20h22m41.83s,40d44m50.58s,0.1020,0.0820,0.0314,13.412,0.045,24.0,2.210E+00,13.445,0.048,22.5,1.548E+00,12.237,null,-7.0,1.102E+00,8.076,null,-11.0,3.568E+00,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,1,nnnn,AAUU,0000,46,46,47,47,0,18,0,20,305529051,0.560,15.861,0.078,14.341,0.048,13.825,0.055,361.253349,251.905191
J202310.72+404041.8,305.7946919,40.6782912,20h23m10.73s,40d40m41.85s,0.1038,0.1035,-0.0283,13.472,0.044,24.8,1.451E+00,13.608,0.064,17.0,1.088E+00,11.172,null,-4.0,4.741E-01,6.578,null,-0.2,2.748E-01,1,0,0.000,0.000,0.000,0.000,119,104,-173,106,0000,0,10nn,AAUU,0000,49,49,48,48,0,9,0,21,305545271,0.421,14.649,0.032,13.929,0.033,13.578,0.052,361.497267,182.388490
J202301.35+405223.9,305.7556642,40.8733269,20h23m01.36s,40d52m23.98s,0.1058,0.1052,-0.0240,13.985,0.046,23.8,1.230E+00,13.973,0.073,15.0,8.240E-01,10.734,null,-2.2,4.163E-01,5.413,0.150,7.2,6.164E+00,3,0,0.000,0.002,0.000,0.000,-50,135,271,137,00Od,1,21n1,AAUB,0000,48,48,46,48,0,10,15,19,305543525,0.189,15.653,0.070,14.635,0.065,14.203,0.085,361.895962,340.423073
J202246.61+404305.2,305.6942148,40.7181156,20h22m46.61s,40d43m05.22s,0.0428,0.0417,0.0075,11.976,0.024,45.3,8.276E+00,12.066,0.023,47.0,2.634E+00,12.121,null,0.7,8.378E-01,5.528,0.122,8.9,3.309E+00,1,0,0.000,0.000,0.000,0.000,228,50,15,48,0h00,1,11n0,AAUB,0000,45,45,45,45,0,18,16,18,305528750,1.013,14.240,0.051,13.085,0.042,12.663,0.038,361.954991,233.037405
J202337.82+404310.0,305.9076241,40.7194567,20h23m37.83s,40d43m10.04s,0.0414,0.0386,0.0074,10.674,0.023,46.7,1.450E+00,10.689,0.022,50.2,1.492E+00,11.121,0.221,4.9,9.532E-01,9.090,null,-7.8,2.143E+00,1,0,0.000,0.000,0.000,0.000,40,34,38,33,0000,0,01nn,AABU,0000,54,54,53,53,5,24,0,24,305628155,0.104,12.369,0.021,11.269,0.017,10.925,0.018,362.190706,125.984000
J202245.89+405010.9,305.6912335,40.8363665,20h22m45.90s,40d50m10.92s,0.0512,0.0496,-0.0057,12.348,0.028,38.4,4.905E+00,12.323,0.026,41.8,1.908E+00,12.216,null,-1.4,9.067E-01,5.754,0.068,15.9,6.825E+00,1,0,0.000,0.000,0.000,0.000,88,57,67,64,0000,1,21n1,AAUA,0000,49,49,48,48,0,20,18,21,305529823,0.824,13.507,0.032,12.915,0.026,12.622,0.033,362.484246,305.030766
J202341.96+404849.4,305.9248712,40.8137472,20h23m41.97s,40d48m49.49s,0.0856,0.0868,-0.0144,13.640,0.039,27.7,1.344E+00,13.758,0.049,22.3,1.322E+00,11.086,null,-1.2,4.347E-01,8.541,null,-8.1,1.379E+00,1,0,0.000,0.000,0.000,0.000,-41,107,102,113,0000,0,11nn,AAUU,0000,50,50,48,50,0,19,0,19,305628994,0.109,15.188,0.044,14.312,0.047,13.875,0.053,362.515614,69.543246
J202249.94+404221.0,305.7080975,40.7058423,20h22m49.94s,40d42m21.03s,0.0872,0.0904,-0.0437,13.941,0.037,29.3,1.752E+00,14.152,0.057,19.0,1.437E+00,10.792,null,1.6,4.938E-01,6.230,0.100,10.9,2.852E+00,2,0,0.000,0.001,0.000,0.003,125,116,-422,120,0000,0,11n0,AAUA,0000,48,48,46,48,0,21,15,21,305528635,0.803,16.620,0.144,14.984,0.083,14.430,null,362.996149,223.829268
J202304.19+405235.3,305.7674879,40.8764993,20h23m04.20s,40d52m35.40s,0.0662,0.0660,-0.0083,12.937,0.033,33.2,2.474E+00,13.092,0.039,28.0,1.461E+00,9.460,0.071,15.3,2.826E+00,4.675,0.085,12.7,8.993E+00,2,0,0.000,0.000,0.000,0.000,-136,63,24,63,00Od,1,12n2,AAAA,0000,49,49,49,49,18,19,19,19,305543489,0.183,14.540,0.028,13.570,0.026,13.217,0.038,363.464947,345.814595
J202244.81+404954.2,305.6867337,40.8317267,20h22m44.82s,40d49m54.22s,0.0598,0.0577,-0.0097,12.878,0.031,35.4,2.326E+00,12.984,0.032,34.1,1.706E+00,11.716,null,-0.4,7.738E-01,5.411,0.119,9.2,4.407E+00,2,1,0.000,0.000,0.000,0.000,-159,200,178,61,0000,1,nnnn,AAUB,0000,50,50,49,49,0,21,22,22,305529778,0.086,14.931,0.036,13.658,0.028,13.153,0.035,363.549206,301.764727
J202319.41+405237.5,305.8308926,40.8770990,20h23m19.41s,40d52m37.56s,0.1076,0.1102,-0.0286,14.180,0.053,20.3,2.743E+00,14.444,0.074,14.7,1.029E+00,12.025,null,-10.8,1.025E+00,5.310,0.041,26.5,1.321E+01,1,0,0.000,0.000,0.000,0.000,573,311,-79,284,000d,1,10n3,AAUA,0000,51,51,35,51,0,3,22,22,305543479,2.344,15.857,0.073,15.112,0.112,14.590,null,364.243403,13.255460
J202343.76+404548.0,305.9323345,40.7633464,20h23m43.76s,40d45m48.05s,0.1157,0.1195,-0.0278,13.982,0.048,22.8,1.546E+00,14.326,0.079,13.7,1.045E+00,11.829,null,-0.3,6.196E-01,6.540,0.468,2.3,2.135E-01,1,0,0.000,0.000,0.000,0.000,109,128,-16,132,0000,0,21nn,AAUC,0000,54,54,42,54,0,24,2,24,305628522,0.448,15.590,0.066,14.825,0.073,14.470,0.092,364.393008,98.635631
J202239.95+404632.4,305.6664757,40.7756777,20h22m39.95s,40d46m32.44s,0.0952,0.0979,-0.0196,14.212,0.041,26.4,2.528E+00,14.708,0.085,12.7,1.859E+00,11.956,null,-11.2,1.397E+00,7.747,null,-9.2,2.267E+00,1,0,0.000,0.000,0.000,0.000,11,156,25,156,0000,0,10nn,AAUU,0000,51,51,30,51,0,1,0,25,305529300,0.477,15.111,0.039,14.543,0.048,14.316,0.085,364.729575,268.379486
J202314.38+405246.9,305.8099519,40.8796983,20h23m14.39s,40d52m46.91s,0.0763,0.0761,-0.0127,13.588,0.035,31.1,5.583E+00,13.491,0.047,23.1,1.712E+00,10.814,0.125,8.7,1.251E+00,5.908,0.091,11.9,7.941E+00,1,0,0.000,0.000,0.000,0.000,-18,90,81,91,0hdh,1,4212,AABA,0000,50,50,50,50,11,21,14,20,305543471,0.384,15.237,0.045,14.327,0.049,14.038,0.074,364.848219,4.167837
J202331.05+405137.6,305.8793821,40.8604470,20h23m31.05s,40d51m37.61s,0.1863,0.1814,-0.0512,13.893,0.082,13.2,1.571E+00,14.391,0.149,7.3,1.040E+00,11.050,0.320,3.4,9.589E-01,4.518,0.063,17.3,3.308E+01,3,0,0.000,0.000,0.000,0.000,4005,141,-894,141,0000,1,00n3,ABBA,0000,53,53,34,53,3,24,24,24,305629401,1.739,16.478,0.117,15.041,0.099,14.287,0.086,365.102704,36.186411
