designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5,w1-w2,H-K,J-H
J184119.68+081319.6,280.3320268,8.2221209,0.1003,0.1014,-0.0214,39.1297649,5.9727522,281.9814938,31.2326825,2944.39,3749.874,15.039,0.038,28.7,2.6,15.326,0.102,10.6,1.16,12.347,,0.5,0.907,8.624,,0.8,0.921,1.52,2,1,0,0.001,0,0,0,,,,,,,,,,,,,,,,0,0,nnnn,AAUU,3,11,29,29,12,29,0,17,1,17,29.357,30.105,16.856,16.706,965931814,0.913,90.7,1,15.964,0.104,15.642,0.149,15.118,0.175,1.072428571,-0.395,-1.844,-2.7613,0.679,-0.287,0.524,0.846
J184137.61+080126.3,280.4067289,8.0239877,0.2874,0.2163,-0.0638,38.9850473,5.8178215,282.0482249,31.029058,2751.167,3231.012,15.023,0.101,10.8,1.19,15.752,0.246,4.4,1.18,12.316,,0.1,0.887,9.136,,0.2,0.959,1.09,1,0,0,0,0,0,0,280.4068569,8.0240226,0.2796,0.2502,-0.0765,2548,473,661,643,1.15,1.18,0.887,0.959,1.07,1N001,ddHH,0,0nnn,ABUU,3,11,25,29,2,29,0,16,0,16,28.683,28.688,15.966,15.855,965930292,1.559,120.2,1,16.345,0.125,15.82,0.186,14.648,,-0.073714286,-1.039,-1.8747,-2.919,1.136,-0.729,1.172,1.697
J184049.28+075745.2,280.2053465,7.9625727,0.2338,0.2055,-0.0925,38.8399614,5.9685348,281.8104056,30.9844132,3273.434,3070.667,14.922,0.077,14,3.76,15.049,0.131,8.3,1.45,12.522,,-0.4,0.929,8.893,,0.6,1.04,2.05,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,0,1,nnnn,ABUU,3,11,27,29,12,30,0,15,0,15,30.064,29.725,16.041,16.449,1059001595,0.261,3.5,1,15.946,0.108,15.492,0.153,14.742,,-2.186571429,-0.922,-1.9792,-2.918,0.227,-0.127,0.75,1.204
J184114.02+081521.2,280.3084503,8.2558963,0.2866,0.3023,-0.0614,39.1496134,6.0087458,281.9575887,31.2682853,3005.401,3838.348,15.317,0.102,10.7,1.32,16.897,0.46,2.4,1.23,12.698,,-3.4,0.968,9.277,,-1.7,1.09,1.19,1,0,0,0,0,0,0,280.308469,8.2559081,0.3018,0.3194,-0.0719,686,428,402,458,1.32,1.23,0.969,1.09,1.19,1N000,0,0,1nnn,ACUU,3,11,29,30,1,30,0,16,0,16,30.657,30.609,16.99,17.241,965932100,0.688,161.7,1,16.103,0.121,15.785,0.171,15.249,,-0.224,-1.29,-2.3926,-3.433,1.899,-1.58,0.536,0.854
J184133.07+075925.9,280.3878292,7.9905429,0.1503,0.1527,-0.0382,38.9465627,5.8195481,282.0231959,30.9972983,2800.227,3143.481,15.076,0.06,18.1,2.33,15.183,0.106,10.3,1.05,12.383,,-2.3,0.86,8.816,,-2.8,1.03,1.43,2,1,0,0,0,0,0,280.3879392,7.9905625,0.1334,0.1404,-0.0259,386,280,1457,306,2.87,1.09,0.867,1.03,1.63,1N036,00O0,0,nnnn,AAUU,3,11,28,29,14,29,0,15,0,15,29.431,30.04,15.246,15.459,965930019,0.387,150.9,1,15.97,0.114,15.694,0.161,14.633,,-0.168857143,-0.316,-2.1479,-3.594,0.5,-0.107,1.061,1.337
J184112.84+075919.3,280.3035354,7.9887117,0.1527,0.1738,-0.1109,38.9072844,5.893337,281.9259714,31.0024303,3018.781,3138.854,14.163,0.084,13,1.29,14.482,0.109,9.9,1.25,12.205,0.445,2.4,0.919,8.431,,0.5,1.02,1.16,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,nnnn,ABCU,7,11,31,31,25,31,1,18,0,18,31.653,31.683,17.935,17.835,965930002,1.198,25.9,2,15.56,0.116,14.979,0.124,13.708,,0.140571429,-0.557,-1.6188,-2.921,-0.023,-0.319,1.271,1.852
J184121.14+075916.6,280.3381235,7.9879498,0.1006,0.1059,-0.0224,38.9220411,5.86238,281.9657195,30.9988232,2929.105,3136.786,14.781,0.042,25.6,2.54,15.062,0.091,12,1,12.514,0.407,2.7,1.08,8.994,,0.3,0.929,1.49,1,0,0,0,0,0,0,280.3381441,7.9879491,0.1192,0.1241,-0.024,413,243,24,260,2.54,1,1.08,0.929,1.49,2N001,0,0,10nn,AACU,7,11,31,31,16,31,1,18,0,18,31.683,32.25,17.922,17.829,965929995,1.975,-68.5,1,15.913,0.101,15.395,0.113,14.592,,0.689571429,-0.1,-1.7445,-2.8686,0.248,-0.281,0.803,1.321
J184038.30+080203.9,280.1595885,8.0344362,0.1482,0.1568,-0.0346,38.8841339,6.0412518,281.7645893,31.0597526,3391.84,3258.949,15.314,0.055,19.7,1.5,16.03,0.225,4.8,0.929,12.693,,-1.5,1.04,9.222,,-1.8,0.909,1.13,1,0,0,0,0,0,0,280.1595939,8.0344435,0.1657,0.1751,-0.0335,136,373,137,395,1.5,0.929,1.04,0.909,1.13,2N001,0,0,2nnn,ABUU,3,11,25,29,2,29,0,16,0,16,29.582,29.436,16.948,16.865,508014159,0.94,65.8,1,16.143,0.123,15.822,0.189,15.106,,0.886714286,-0.7487,-2.2305,-3.2694,1.037,-0.716,0.716,1.037
J184148.74+080736.5,280.4530874,8.1268119,0.0826,0.0922,0.0319,39.0981184,5.8229114,282.1117206,31.1276589,2630.833,3500.145,14.563,0.035,30.6,3.75,14.623,0.062,17.5,1.33,12.392,,-0.7,0.916,8.842,,-0.6,0.958,1.98,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,0h00,1,nnnn,AAUU,3,11,27,27,21,27,0,15,0,15,28.106,28.966,15.673,15.864,965991224,1.548,-89.7,1,16.331,0.171,15.607,0.173,14.393,,0.195857143,0.123,-2.0031,-3.0778,-0.069,-0.06,1.214,1.938
J184041.44+081501.5,280.1726682,8.2504378,0.1541,0.1645,-0.0735,39.0841751,6.1264418,281.8003832,31.2739634,3357.226,3824.412,15.182,0.057,19,2.28,15.534,0.149,7.3,1.06,12.02,,1,0.923,8.724,,-0.5,0.918,1.43,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,nnnn,ABUU,3,11,23,27,6,27,0,13,0,13,28.362,29.09,14.628,14.478,1059004082,1.308,16.1,1,16.322,0.139,15.885,0.233,15.184,,0.003714286,-0.631,-1.7979,-3.0179,1.214,-0.352,0.701,1.138
